,Round,Position,Team,Played,Premiership_Points,Percentage
0,1,1,GW,1,4,200.0
1,1,2,HW,1,4,126.3
2,1,3,SY,1,0,79.2
3,1,4,CW,1,0,50.0
4,2,1,GW,2,8,143.7
5,2,2,HW,2,8,128.6
6,2,3,GC,1,4,277.6
7,2,4,GE,1,4,213.0
8,2,5,AD,1,4,187.5
9,2,6,CW,2,4,126.2
10,2,7,RI,1,4,118.8
11,2,8,WB,1,4,116.5
12,2,9,BL,1,4,104.9
13,2,10,ME,1,0,96.1
14,2,11,SY,2,0,86.8
15,2,12,NM,1,0,85.8
16,2,13,CA,1,0,84.1
17,2,14,ES,1,0,76.6
18,2,15,SK,1,0,53.3
19,2,16,FR,1,0,46.9
20,2,17,WC,1,0,36.0
21,2,18,PA,1,0,33.1
22,3,1,HW,3,12,129.9
23,3,2,AD,2,8,172.1
24,3,3,GW,2,8,143.7
25,3,4,CW,3,8,120.5
26,3,5,BL,2,8,114.6
27,3,6,GC,1,4,277.6
28,3,7,GE,2,4,142.5
29,3,8,NM,2,4,124.0
30,3,9,WB,2,4,105.8
31,3,10,SY,3,4,91.5
32,3,11,PA,2,4,90.7
33,3,12,SK,2,4,75.2
34,3,13,RI,2,4,71.8
35,3,14,CA,2,0,79.6
36,3,15,ME,2,0,69.3
37,3,16,ES,2,0,68.0
38,3,17,FR,2,0,62.3
39,3,18,WC,2,0,53.9
40,4,1,HW,4,16,127.4
41,4,2,AD,3,12,164.0
42,4,3,BL,3,12,114.7
43,4,4,GC,2,8,230.6
44,4,5,GW,3,8,121.3
45,4,6,CW,3,8,120.5
46,4,7,SK,3,8,109.3
47,4,8,WB,3,8,107.3
48,4,9,GE,3,4,126.2
49,4,10,NM,3,4,102.4
50,4,11,SY,3,4,91.5
51,4,12,PA,3,4,88.8
52,4,13,FR,3,4,84.8
53,4,14,ES,3,4,77.4
54,4,15,RI,3,4,59.0
55,4,16,CA,3,0,83.3
56,4,17,ME,3,0,62.7
57,4,18,WC,3,0,57.1
58,5,1,HW,4,16,127.4
59,5,2,BL,4,16,119.5
60,5,3,GC,3,12,172.6
61,5,4,GW,4,12,149.0
62,5,5,AD,4,12,146.6
63,5,6,CW,4,12,123.4
64,5,7,SK,4,12,112.3
65,5,8,GE,4,8,135.7
66,5,9,SY,4,8,114.7
67,5,10,WB,4,8,100.6
68,5,11,FR,4,8,92.6
69,5,12,PA,4,4,86.8
70,5,13,NM,4,4,85.9
71,5,14,ES,3,4,77.4
72,5,15,RI,4,4,63.4
73,5,16,CA,4,0,81.2
74,5,17,ME,4,0,60.9
75,5,18,WC,4,0,51.9
76,6,1,BL,5,20,120.0
77,6,2,GC,4,16,168.3
78,6,3,GW,5,16,145.4
79,6,4,CW,5,16,127.1
80,6,5,HW,5,16,111.8
81,6,6,GE,5,12,131.3
82,6,7,AD,5,12,130.4
83,6,8,FR,5,12,108.3
84,6,9,SK,5,12,103.3
85,6,10,SY,5,8,103.2
86,6,11,PA,5,8,96.1
87,6,12,WB,5,8,95.9
88,6,13,ES,4,8,90.7
89,6,14,CA,5,4,103.6
90,6,15,NM,5,4,80.0
91,6,16,RI,5,4,59.6
92,6,17,ME,5,0,60.6
93,6,18,WC,5,0,49.7
94,7,1,CW,6,20,136.6
95,7,2,BL,6,20,105.7
96,7,3,GC,5,16,150.5
97,7,4,GW,6,16,134.6
98,7,5,AD,6,16,132.0
99,7,6,GE,6,16,127.5
100,7,7,HW,6,16,108.3
101,7,8,WB,6,12,110.0
102,7,9,FR,6,12,104.6
103,7,10,PA,6,12,98.1
104,7,11,ES,5,12,92.7
105,7,12,SK,6,12,90.5
106,7,13,CA,6,8,122.1
107,7,14,SY,6,8,101.0
108,7,15,RI,6,8,65.7
109,7,16,NM,6,4,72.7
110,7,17,ME,6,4,68.7
111,7,18,WC,6,0,55.3
112,8,1,CW,7,24,140.3
113,8,2,BL,7,24,112.7
114,8,3,GC,6,20,150.1
115,8,4,HW,7,20,116.1
116,8,5,AD,7,16,124.2
117,8,6,GW,7,16,120.4
118,8,7,GE,7,16,119.6
119,8,8,WB,7,16,114.0
120,8,9,FR,7,16,107.2
121,8,10,PA,7,16,99.8
122,8,11,CA,7,12,122.4
123,8,12,ES,6,12,86.9
124,8,13,SK,7,12,85.7
125,8,14,SY,7,8,94.6
126,8,15,ME,7,8,74.7
127,8,16,RI,7,8,66.9
128,8,17,NM,7,4,74.9
129,8,18,WC,7,0,55.9
130,9,1,BL,8,28,114.4
131,9,2,CW,8,24,133.2
132,9,3,HW,8,24,125.6
133,9,4,GC,7,20,140.4
134,9,5,AD,8,20,131.8
135,9,6,WB,8,20,127.1
136,9,7,GE,8,20,117.4
137,9,8,GW,8,16,115.0
138,9,9,FR,8,16,97.2
139,9,10,SK,8,16,94.6
140,9,11,ES,7,16,88.6
141,9,12,PA,8,16,87.9
142,9,13,CA,8,12,108.6
143,9,14,SY,8,12,97.2
144,9,15,ME,8,12,81.6
145,9,16,RI,8,8,63.4
146,9,17,NM,8,4,76.4
147,9,18,WC,8,0,57.7
148,10,1,BL,9,30,112.9
149,10,2,CW,9,28,131.0
150,10,3,HW,9,28,128.7
151,10,4,GC,8,24,135.7
152,10,5,AD,9,24,128.8
153,10,6,WB,9,20,122.0
154,10,7,GE,9,20,114.4
155,10,8,GW,9,20,113.4
156,10,9,ES,8,20,90.8
157,10,10,CA,9,16,110.0
158,10,11,FR,9,16,95.7
159,10,12,SK,9,16,93.3
160,10,13,PA,9,16,88.6
161,10,14,SY,9,12,96.4
162,10,15,ME,9,12,79.4
163,10,16,RI,9,12,66.8
164,10,17,NM,9,6,78.2
165,10,18,WC,9,0,61.0
166,11,1,CW,10,32,129.4
167,11,2,BL,10,30,110.0
168,11,3,GC,9,28,132.0
169,11,4,HW,10,28,123.8
170,11,5,WB,10,24,132.6
171,11,6,AD,10,24,124.7
172,11,7,GE,10,24,123.4
173,11,8,GW,10,20,107.4
174,11,9,FR,10,20,100.1
175,11,10,ES,9,20,81.2
176,11,11,CA,10,16,106.9
177,11,12,SY,10,16,98.7
178,11,13,SK,10,16,91.0
179,11,14,ME,10,16,82.6
180,11,15,PA,10,16,82.0
181,11,16,RI,10,12,69.0
182,11,17,NM,10,10,80.2
183,11,18,WC,10,4,66.6
184,12,1,CW,11,36,132.9
185,12,2,BL,11,34,113.1
186,12,3,GC,10,32,131.9
187,12,4,AD,11,28,130.6
188,12,5,GE,11,28,122.0
189,12,6,HW,11,28,117.4
190,12,7,WB,11,24,126.5
191,12,8,GW,11,24,109.9
192,12,9,FR,11,24,105.6
193,12,10,ES,10,24,85.0
194,12,11,ME,11,20,89.3
195,12,12,CA,11,16,102.8
196,12,13,SY,11,16,93.2
197,12,14,SK,11,16,89.8
198,12,15,PA,11,16,79.1
199,12,16,RI,11,12,69.2
200,12,17,NM,11,10,78.1
201,12,18,WC,11,4,64.6
202,13,1,CW,12,40,136.9
203,13,2,BL,12,38,114.0
204,13,3,AD,12,32,139.3
205,13,4,GC,11,32,127.8
206,13,5,GE,12,32,124.8
207,13,6,HW,12,28,110.2
208,13,7,GW,12,28,109.4
209,13,8,FR,12,28,106.4
210,13,9,WB,11,24,126.5
211,13,10,ES,11,24,84.6
212,13,11,SK,12,20,93.1
213,13,12,ME,12,20,87.6
214,13,13,CA,11,16,102.8
215,13,14,SY,12,16,85.7
216,13,15,PA,11,16,79.1
217,13,16,RI,12,12,71.1
218,13,17,NM,11,10,78.1
219,13,18,WC,12,4,64.5
220,14,1,CW,13,44,134.0
221,14,2,BL,13,38,112.6
222,14,3,AD,13,36,137.2
223,14,4,GE,13,36,126.2
224,14,5,GC,12,32,123.2
225,14,6,HW,13,32,111.8
226,14,7,GW,13,28,107.2
227,14,8,FR,12,28,106.4
228,14,9,WB,12,24,122.1
229,14,10,ES,12,24,84.9
230,14,11,CA,12,20,103.4
231,14,12,SK,12,20,93.1
232,14,13,SY,13,20,90.1
233,14,14,ME,13,20,88.3
234,14,15,PA,12,20,81.5
235,14,16,NM,12,14,79.9
236,14,17,RI,13,12,69.4
237,14,18,WC,13,4,65.3
238,15,1,CW,13,44,134.0
239,15,2,GE,14,40,133.8
240,15,3,BL,14,38,110.4
241,15,4,AD,14,36,135.2
242,15,5,HW,14,36,111.6
243,15,6,GC,12,32,123.2
244,15,7,GW,14,32,107.6
245,15,8,FR,13,32,106.6
246,15,9,WB,13,28,127.7
247,15,10,CA,13,24,106.7
248,15,11,PA,13,24,84.7
249,15,12,ES,13,24,78.9
250,15,13,SY,13,20,90.1
251,15,14,SK,13,20,87.8
252,15,15,ME,14,20,87.1
253,15,16,NM,13,14,80.6
254,15,17,RI,13,12,69.4
255,15,18,WC,14,4,65.1
256,16,1,CW,14,48,135.0
257,16,2,BL,15,42,113.4
258,16,3,GE,15,40,127.5
259,16,4,AD,14,36,135.2
260,16,5,HW,14,36,111.6
261,16,6,FR,14,36,110.0
262,16,7,GW,15,36,107.6
263,16,8,WB,14,32,133.4
264,16,9,GC,13,32,120.1
265,16,10,CA,14,24,105.1
266,16,11,SY,14,24,92.2
267,16,12,PA,14,24,84.0
268,16,13,ES,14,24,77.5
269,16,14,ME,14,20,87.1
270,16,15,SK,14,20,86.2
271,16,16,NM,14,18,82.5
272,16,17,RI,14,12,66.6
273,16,18,WC,14,4,65.1
274,17,1,CW,15,52,135.8
275,17,2,BL,15,42,113.4
276,17,3,AD,15,40,139.8
277,17,4,GE,15,40,127.5
278,17,5,HW,15,40,118.4
279,17,6,FR,15,40,110.4
280,17,7,WB,15,36,131.5
281,17,8,GC,14,36,120.3
282,17,9,GW,15,36,107.6
283,17,10,PA,15,28,88.6
284,17,11,CA,15,24,100.4
285,17,12,SY,15,24,92.1
286,17,13,ES,14,24,77.5
287,17,14,ME,15,20,86.7
288,17,15,SK,15,20,86.2
289,17,16,NM,15,18,78.5
290,17,17,RI,15,12,64.8
291,17,18,WC,15,4,65.2
292,18,1,CW,16,56,139.0
293,18,2,BL,16,46,114.7
294,18,3,AD,16,44,138.2
295,18,4,GE,16,44,132.3
296,18,5,HW,16,44,118.9
297,18,6,WB,16,40,133.2
298,18,7,GC,15,40,122.5
299,18,8,GW,16,40,112.0
300,18,9,FR,16,40,108.8
301,18,10,SY,16,28,93.4
302,18,11,PA,16,28,87.6
303,18,12,CA,16,24,96.1
304,18,13,ES,15,24,76.4
305,18,14,ME,16,20,86.7
306,18,15,SK,16,20,85.7
307,18,16,NM,16,18,77.3
308,18,17,RI,16,12,63.0
309,18,18,WC,16,4,63.9
